,ID,IDPF,IDPT,Subject,Similarity
304,107,2,7,RE: New refueling policies - Effective February 1,1
305,231,2,15,RE: New refueling policies - Effective February 1,1
371,742,2,46,RE: Question - Protocol for VIP visit,0.72
372,232,2,15,RE: Congratulations on your service anniversary,0.74
373,179,2,12,RE: Facilities preparations for VIP visit,1
364,742,3,46,RE: Question - Protocol for VIP visit,0.75
365,619,3,40,RE: Wellhead flow rate data,1
162,574,4,38,RE: Patrol schedule changes,0.75
163,106,4,7,RE: New refueling policies - Effective February 1,1
164,18,4,2,RE: New refueling policies - Effective February 1,1
165,107,4,7,RE: New refueling policies - Effective February 1,1
166,231,4,15,RE: New refueling policies - Effective February 1,1
325,740,4,46,RE: Craft night,0.76
326,585,4,39,RE: Congratulations on your service anniversary,0.73
327,246,4,16,RE: Route suggestion for next shift,1
328,742,4,46,RE: Question - Protocol for VIP visit,0.76
329,232,4,15,RE: Congratulations on your service anniversary,0.73
330,426,4,28,RE: Route suggestion for next shift,1
224,816,5,51,RE: Favor - borrow hedge trimmer,0.89
225,70,5,5,RE: Favor - borrow hedge trimmer,0.89
261,212,5,14,RE: Craft night,1
262,816,5,51,RE: Favor - borrow hedge trimmer,0.72
263,70,5,5,RE: Favor - borrow hedge trimmer,0.72
264,108,5,7,RE: Route suggestion for next shift,0.76
265,89,5,6,RE: Wellhead flow rate data,0.71
266,49,5,4,RE: Route suggestion for next shift,0.76
267,740,5,46,RE: Craft night,1
268,503,5,32,RE: Concert tickets,0.82
269,790,5,50,RE: GT-SeismicProcessorPro Bug Report,0.78
270,409,5,27,RE: Supplies,0.72
271,178,5,12,RE: Supplies,0.72
272,36,5,3,RE: Wellhead flow rate data,0.71
273,524,5,34,RE: Meeting,0.73
274,90,5,6,RE: Meeting,0.73
275,246,5,16,RE: Route suggestion for next shift,0.76
276,742,5,46,RE: Question - Protocol for VIP visit,0.76
277,426,5,28,RE: Route suggestion for next shift,0.76
278,619,5,40,RE: Wellhead flow rate data,0.71
306,740,5,46,RE: Craft night,0.72
307,790,5,50,RE: GT-SeismicProcessorPro Bug Report,0.71
82,523,6,34,RE: Wellhead flow rate data,0.93
83,309,6,20,RE: Wellhead flow rate data,0.93
84,136,6,9,RE: Wellhead flow rate data,0.93
85,89,6,6,RE: Wellhead flow rate data,0.93
86,850,6,54,Wellhead flow rate data,1
87,36,6,3,RE: Wellhead flow rate data,0.93
88,619,6,40,RE: Wellhead flow rate data,0.93
311,524,6,34,RE: Meeting,0.76
312,90,6,6,RE: Meeting,0.76
320,850,6,54,Wellhead flow rate data,0.93
321,740,6,46,RE: Craft night,0.71
322,36,6,3,RE: Wellhead flow rate data,1
323,742,6,46,RE: Question - Protocol for VIP visit,0.75
324,619,6,40,RE: Wellhead flow rate data,1
369,672,6,43,RE: Late for meeting,0.75
370,505,6,32,RE: Late for meeting,0.75
235,18,7,2,RE: New refueling policies - Effective February 1,1
236,107,7,7,RE: New refueling policies - Effective February 1,1
237,231,7,15,RE: New refueling policies - Effective February 1,1
310,231,7,15,RE: New refueling policies - Effective February 1,1
313,49,7,4,RE: Route suggestion for next shift,1
314,740,7,46,RE: Craft night,0.76
315,585,7,39,RE: Congratulations on your service anniversary,0.73
316,246,7,16,RE: Route suggestion for next shift,1
317,742,7,46,RE: Question - Protocol for VIP visit,0.76
318,232,7,15,RE: Congratulations on your service anniversary,0.73
319,426,7,28,RE: Route suggestion for next shift,1
6,48,8,4,RE: New refueling policies - Effective February 1,0.95
7,106,8,7,RE: New refueling policies - Effective February 1,0.95
8,18,8,2,RE: New refueling policies - Effective February 1,0.95
9,107,8,7,RE: New refueling policies - Effective February 1,0.95
10,231,8,15,RE: New refueling policies - Effective February 1,0.95
18,838,8,53,RE: Don't text and drive!,0.93
250,19,8,2,RE: Facilities preparations for VIP visit,0.91
251,179,8,12,RE: Facilities preparations for VIP visit,0.91
252,69,9,5,RE: Craft night,0.71
253,212,9,14,RE: Craft night,0.71
254,89,9,6,RE: Wellhead flow rate data,1
255,850,9,54,Wellhead flow rate data,0.93
256,740,9,46,RE: Craft night,0.71
257,36,9,3,RE: Wellhead flow rate data,1
258,742,9,46,RE: Question - Protocol for VIP visit,0.75
259,619,9,40,RE: Wellhead flow rate data,1
35,87,10,6,Wellhead flow rate data,1
36,523,10,34,RE: Wellhead flow rate data,0.93
37,309,10,20,RE: Wellhead flow rate data,0.93
38,136,10,9,RE: Wellhead flow rate data,0.93
39,89,10,6,RE: Wellhead flow rate data,0.93
40,850,10,54,Wellhead flow rate data,1
41,36,10,3,RE: Wellhead flow rate data,0.93
42,619,10,40,RE: Wellhead flow rate data,0.93
260,742,11,46,RE: Question - Protocol for VIP visit,0.95
356,19,12,2,RE: Facilities preparations for VIP visit,0.72
357,179,12,12,RE: Facilities preparations for VIP visit,0.72
279,108,13,7,RE: Route suggestion for next shift,0.95
280,49,13,4,RE: Route suggestion for next shift,0.95
281,246,13,16,RE: Route suggestion for next shift,0.95
282,426,13,28,RE: Route suggestion for next shift,0.95
352,724,13,45,RE: Are you buying coffee?,0.92
284,816,14,51,RE: Favor - borrow hedge trimmer,0.72
285,70,14,5,RE: Favor - borrow hedge trimmer,0.72
286,108,14,7,RE: Route suggestion for next shift,0.76
287,89,14,6,RE: Wellhead flow rate data,0.71
288,49,14,4,RE: Route suggestion for next shift,0.76
289,740,14,46,RE: Craft night,1
290,503,14,32,RE: Concert tickets,0.82
291,790,14,50,RE: GT-SeismicProcessorPro Bug Report,0.78
292,409,14,27,RE: Supplies,0.72
293,178,14,12,RE: Supplies,0.72
294,36,14,3,RE: Wellhead flow rate data,0.71
295,524,14,34,RE: Meeting,0.73
296,90,14,6,RE: Meeting,0.73
297,246,14,16,RE: Route suggestion for next shift,0.76
298,742,14,46,RE: Question - Protocol for VIP visit,0.76
299,426,14,28,RE: Route suggestion for next shift,0.76
300,619,14,40,RE: Wellhead flow rate data,0.71
308,585,15,39,RE: Congratulations on your service anniversary,0.9
309,232,15,15,RE: Congratulations on your service anniversary,0.9
382,426,15,28,RE: Route suggestion for next shift,0.73
383,179,15,12,RE: Facilities preparations for VIP visit,0.74
374,742,16,46,RE: Question - Protocol for VIP visit,0.76
375,232,16,15,RE: Congratulations on your service anniversary,0.73
376,426,16,28,RE: Route suggestion for next shift,1
