,ID,IDPF,IDPT,Subject,Similarity
82,412,1,27,RE: Suggest topics for upcoming retreat,0.73
83,24,1,2,RE: Union meeting,0.71
84,713,1,44,RE: Vistors from Tethys,0.79
85,52,1,4,RE: Union meeting,0.71
86,347,1,23,RE: Union meeting,0.71
87,5,1,1,RE: Suggest topics for upcoming retreat,0.73
88,576,1,38,Notification of outside visit,0.7
89,325,1,21,RE: Parking lottery winners,0.74
90,593,1,39,GT website under attack,0.74
91,794,1,50,Question about behavior of field device,0.71
92,594,1,39,RE: GT website under attack,0.85
93,781,1,49,RE: Notification of outside visit,0.83
94,112,1,7,RE: New refueling policies - Effective February 1,0.75
95,377,1,24,RE: Vacation donation request,0.73
96,113,1,7,RE: New refueling policies - Effective February 1,0.75
97,234,1,15,RE: New refueling policies - Effective February 1,0.75
98,6,1,1,RE: Vacation donation request,0.73
99,477,1,30,RE: Vacation donation request,0.73
100,114,1,7,RE: New refueling policies - Effective February 1,0.75
101,527,1,34,RE: Field work rotation schedule,0.71
102,795,1,50,RE: Question about behavior of field device,0.81
103,840,1,53,RE: New refueling policies - Effective February 1,0.75
104,38,1,3,RE: Field work rotation schedule,0.71
105,542,1,35,RE: Field work rotation schedule,0.71
219,557,1,36,RE: Question - new travel forms,0.73
220,75,1,5,RE: Babysitting recommendations,0.74
221,160,1,11,RE: Question - new travel forms,0.73
222,746,1,46,RE: Question - new travel forms,0.73
223,781,1,49,RE: Notification of outside visit,0.73
424,477,1,30,RE: Vacation donation request,1
425,114,1,7,RE: New refueling policies - Effective February 1,0.71
426,527,1,34,RE: Field work rotation schedule,0.86
427,795,1,50,RE: Question about behavior of field device,0.85
428,840,1,53,RE: New refueling policies - Effective February 1,0.71
429,38,1,3,RE: Field work rotation schedule,0.86
430,542,1,35,RE: Field work rotation schedule,0.86
118,52,2,4,RE: Union meeting,1
119,286,2,18,RE: Whoâ€™s tracking the office pool,0.71
120,347,2,23,RE: Union meeting,1
121,111,2,7,RE: Whoâ€™s tracking the office pool,0.71
122,829,2,52,RE: Awwww- cute!,0.73
123,780,2,49,RE: Awwww- cute!,0.73
124,325,2,21,RE: Parking lottery winners,0.83
125,594,2,39,RE: GT website under attack,0.76
126,112,2,7,RE: New refueling policies - Effective February 1,0.71
127,377,2,24,RE: Vacation donation request,0.77
128,113,2,7,RE: New refueling policies - Effective February 1,0.71
129,234,2,15,RE: New refueling policies - Effective February 1,0.71
130,6,2,1,RE: Vacation donation request,0.77
131,477,2,30,RE: Vacation donation request,0.77
132,114,2,7,RE: New refueling policies - Effective February 1,0.71
133,527,2,34,RE: Field work rotation schedule,0.75
134,840,2,53,RE: New refueling policies - Effective February 1,0.71
135,38,2,3,RE: Field work rotation schedule,0.75
136,542,2,35,RE: Field work rotation schedule,0.75
378,781,2,49,RE: Notification of outside visit,0.71
379,377,2,24,RE: Vacation donation request,0.72
380,6,2,1,RE: Vacation donation request,0.72
381,477,2,30,RE: Vacation donation request,0.72
382,527,2,34,RE: Field work rotation schedule,0.75
383,795,2,50,RE: Question about behavior of field device,0.72
384,38,2,3,RE: Field work rotation schedule,0.75
385,542,2,35,RE: Field work rotation schedule,0.75
452,542,3,35,RE: Field work rotation schedule,1
150,286,4,18,RE: Whoâ€™s tracking the office pool,0.71
151,347,4,23,RE: Union meeting,1
152,111,4,7,RE: Whoâ€™s tracking the office pool,0.71
153,829,4,52,RE: Awwww- cute!,0.73
154,780,4,49,RE: Awwww- cute!,0.73
155,325,4,21,RE: Parking lottery winners,0.83
156,594,4,39,RE: GT website under attack,0.76
157,112,4,7,RE: New refueling policies - Effective February 1,0.71
158,377,4,24,RE: Vacation donation request,0.77
159,113,4,7,RE: New refueling policies - Effective February 1,0.71
160,234,4,15,RE: New refueling policies - Effective February 1,0.71
161,6,4,1,RE: Vacation donation request,0.77
162,477,4,30,RE: Vacation donation request,0.77
163,114,4,7,RE: New refueling policies - Effective February 1,0.71
164,527,4,34,RE: Field work rotation schedule,0.75
165,840,4,53,RE: New refueling policies - Effective February 1,0.71
166,38,4,3,RE: Field work rotation schedule,0.75
167,542,4,35,RE: Field work rotation schedule,0.75
273,160,5,11,RE: Question - new travel forms,0.71
274,325,5,21,RE: Parking lottery winners,0.75
275,746,5,46,RE: Question - new travel forms,0.71
276,112,5,7,RE: New refueling policies - Effective February 1,0.74
277,113,5,7,RE: New refueling policies - Effective February 1,0.74
278,234,5,15,RE: New refueling policies - Effective February 1,0.74
279,114,5,7,RE: New refueling policies - Effective February 1,0.74
280,840,5,53,RE: New refueling policies - Effective February 1,0.74
77,286,7,18,RE: Whoâ€™s tracking the office pool,0.95
78,111,7,7,RE: Whoâ€™s tracking the office pool,0.95
229,325,7,21,RE: Parking lottery winners,0.76
230,594,7,39,RE: GT website under attack,0.75
231,377,7,24,RE: Vacation donation request,0.76
232,6,7,1,RE: Vacation donation request,0.76
233,477,7,30,RE: Vacation donation request,0.76
234,795,7,50,RE: Question about behavior of field device,0.71
393,377,7,24,RE: Vacation donation request,0.71
394,113,7,7,RE: New refueling policies - Effective February 1,1
395,234,7,15,RE: New refueling policies - Effective February 1,1
396,6,7,1,RE: Vacation donation request,0.71
397,477,7,30,RE: Vacation donation request,0.71
398,114,7,7,RE: New refueling policies - Effective February 1,1
399,840,7,53,RE: New refueling policies - Effective February 1,1
410,234,7,15,RE: New refueling policies - Effective February 1,1
411,6,7,1,RE: Vacation donation request,0.71
412,477,7,30,RE: Vacation donation request,0.71
413,114,7,7,RE: New refueling policies - Effective February 1,1
414,840,7,53,RE: New refueling policies - Effective February 1,1
441,840,7,53,RE: New refueling policies - Effective February 1,1
13,24,8,2,RE: Union meeting,0.77
14,52,8,4,RE: Union meeting,0.77
15,347,8,23,RE: Union meeting,0.77
16,636,8,41,Parking lottery winners,0.74
17,637,8,41,Vacation donation request,0.74
18,313,8,20,Field work rotation schedule,0.72
19,377,8,24,RE: Vacation donation request,0.73
20,6,8,1,RE: Vacation donation request,0.73
21,477,8,30,RE: Vacation donation request,0.73
22,527,8,34,RE: Field work rotation schedule,0.71
23,38,8,3,RE: Field work rotation schedule,0.71
24,542,8,35,RE: Field work rotation schedule,0.71
298,325,11,21,RE: Parking lottery winners,0.73
299,746,11,46,RE: Question - new travel forms,1
300,594,11,39,RE: GT website under attack,0.71
301,781,11,49,RE: Notification of outside visit,0.71
302,112,11,7,RE: New refueling policies - Effective February 1,0.78
303,377,11,24,RE: Vacation donation request,0.74
304,113,11,7,RE: New refueling policies - Effective February 1,0.78
305,234,11,15,RE: New refueling policies - Effective February 1,0.78
306,6,11,1,RE: Vacation donation request,0.74
307,477,11,30,RE: Vacation donation request,0.74
308,114,11,7,RE: New refueling policies - Effective February 1,0.78
309,795,11,50,RE: Question about behavior of field device,0.72
310,840,11,53,RE: New refueling policies - Effective February 1,0.78
419,558,11,36,RE: Does anyone have ...,1
420,349,11,23,RE: Don't text and drive!,0.75
421,249,11,16,RE: Don't text and drive!,0.75
422,350,11,23,RE: Don't text and drive!,0.75
423,218,11,14,RE: Does anyone have ...,1
168,348,12,23,RE: Caution downtown,0.8
169,25,12,2,RE: Caution downtown,0.8
184,5,14,1,RE: Suggest topics for upcoming retreat,0.74
185,557,14,36,RE: Question - new travel forms,0.71
186,75,14,5,RE: Babysitting recommendations,1
187,160,14,11,RE: Question - new travel forms,0.71
188,325,14,21,RE: Parking lottery winners,0.75
189,746,14,46,RE: Question - new travel forms,0.71
190,112,14,7,RE: New refueling policies - Effective February 1,0.74
191,113,14,7,RE: New refueling policies - Effective February 1,0.74
192,234,14,15,RE: New refueling policies - Effective February 1,0.74
193,114,14,7,RE: New refueling policies - Effective February 1,0.74
194,840,14,53,RE: New refueling policies - Effective February 1,0.74
415,6,15,1,RE: Vacation donation request,0.71
416,477,15,30,RE: Vacation donation request,0.71
417,114,15,7,RE: New refueling policies - Effective February 1,1
418,840,15,53,RE: New refueling policies - Effective February 1,1
450,350,16,23,RE: Don't text and drive!,1
451,218,16,14,RE: Does anyone have ...,0.75
195,347,18,23,RE: Union meeting,0.71
196,111,18,7,RE: Whoâ€™s tracking the office pool,1
197,325,18,21,RE: Parking lottery winners,0.76
198,594,18,39,RE: GT website under attack,0.75
199,377,18,24,RE: Vacation donation request,0.76
200,6,18,1,RE: Vacation donation request,0.76
201,477,18,30,RE: Vacation donation request,0.76
202,795,18,50,RE: Question about behavior of field device,0.71
51,541,20,35,RE: Downhole prediction 2522-00 - updated,0.93
326,593,20,39,GT website under attack,0.73
327,794,20,50,Question about behavior of field device,0.82
328,377,20,24,RE: Vacation donation request,0.75
329,6,20,1,RE: Vacation donation request,0.75
330,477,20,30,RE: Vacation donation request,0.75
331,527,20,34,RE: Field work rotation schedule,0.92
332,795,20,50,RE: Question about behavior of field device,0.78
333,38,20,3,RE: Field work rotation schedule,0.92
334,542,20,35,RE: Field work rotation schedule,0.92
311,746,21,46,RE: Question - new travel forms,0.73
312,594,21,39,RE: GT website under attack,0.82
313,781,21,49,RE: Notification of outside visit,0.71
314,112,21,7,RE: New refueling policies - Effective February 1,0.75
315,377,21,24,RE: Vacation donation request,0.87
316,113,21,7,RE: New refueling policies - Effective February 1,0.75
317,234,21,15,RE: New refueling policies - Effective February 1,0.75
318,6,21,1,RE: Vacation donation request,0.87
319,477,21,30,RE: Vacation donation request,0.87
