,ID,IDPF,IDPT,Subject,Similarity
279,776,1,48,RE: Managing perceptions about the IPO,1
280,670,1,42,RE: The rest of the files are in your mailbox,0.71
281,17,1,1,RE: Managing perceptions about the IPO,1
282,424,1,27,RE: Managing perceptions about the IPO,1
283,472,1,29,RE: Question about behavior of field device,0.75
284,582,1,38,RE: Security procedures for January 20 VIP visit,0.72
285,270,1,16,RE: Reorganization,0.71
286,210,1,13,RE: Route suggestion for next shift,0.73
287,425,1,27,RE: Reorganization,0.71
288,511,1,32,RE: Security procedures for January 20 VIP visit,0.72
289,66,1,4,RE: Route suggestion for next shift,0.73
290,836,1,52,RE: Security procedures for January 20 VIP visit,0.72
291,244,1,15,RE: Route suggestion for next shift,0.73
292,282,1,17,RE: Inspection request for site,0.73
293,125,1,7,RE: Traffic advisory for today,0.75
294,67,1,4,RE: Traffic advisory for today,0.75
295,407,1,26,RE: Security procedures for January 20 VIP visit,0.72
296,788,1,49,RE: Inspection request for site,0.73
297,374,1,23,RE: Traffic advisory for today,0.75
298,385,1,24,RE: Inspection request for site,0.73
299,662,1,41,RE: Training opportunity,0.76
300,271,1,16,RE: Traffic advisory for today,0.75
301,837,1,52,RE: Inspection request for site,0.73
391,424,1,27,RE: Managing perceptions about the IPO,1
392,472,1,29,RE: Question about behavior of field device,0.75
393,582,1,38,RE: Security procedures for January 20 VIP visit,0.72
394,270,1,16,RE: Reorganization,0.71
395,210,1,13,RE: Route suggestion for next shift,0.73
396,425,1,27,RE: Reorganization,0.71
397,511,1,32,RE: Security procedures for January 20 VIP visit,0.72
398,66,1,4,RE: Route suggestion for next shift,0.73
399,836,1,52,RE: Security procedures for January 20 VIP visit,0.72
400,244,1,15,RE: Route suggestion for next shift,0.73
401,282,1,17,RE: Inspection request for site,0.73
402,125,1,7,RE: Traffic advisory for today,0.75
403,67,1,4,RE: Traffic advisory for today,0.75
404,407,1,26,RE: Security procedures for January 20 VIP visit,0.72
405,788,1,49,RE: Inspection request for site,0.73
406,374,1,23,RE: Traffic advisory for today,0.75
407,385,1,24,RE: Inspection request for site,0.73
408,662,1,41,RE: Training opportunity,0.76
409,271,1,16,RE: Traffic advisory for today,0.75
410,837,1,52,RE: Inspection request for site,0.73
764,66,2,4,RE: Route suggestion for next shift,0.75
765,244,2,15,RE: Route suggestion for next shift,0.75
766,282,2,17,RE: Inspection request for site,0.81
767,125,2,7,RE: Traffic advisory for today,0.92
768,67,2,4,RE: Traffic advisory for today,0.92
769,788,2,49,RE: Inspection request for site,0.81
770,374,2,23,RE: Traffic advisory for today,0.92
771,385,2,24,RE: Inspection request for site,0.81
772,271,2,16,RE: Traffic advisory for today,0.92
773,837,2,52,RE: Inspection request for site,0.81
249,154,3,10,RE: GIS update,1
250,758,3,47,RE: Files,0.75
251,371,3,23,RE: Files,0.75
252,485,3,30,GIS update,0.81
253,105,3,6,RE: GIS update,1
254,553,3,35,RE: GIS update,1
255,521,3,33,RE: GIS update,1
256,582,3,38,RE: Security procedures for January 20 VIP visit,0.74
257,270,3,16,RE: Reorganization,0.81
258,486,3,30,RE: GIS update,1
259,322,3,20,RE: GIS update,1
260,210,3,13,RE: Route suggestion for next shift,0.72
261,425,3,27,RE: Reorganization,0.81
262,511,3,32,RE: Security procedures for January 20 VIP visit,0.74
263,66,3,4,RE: Route suggestion for next shift,0.72
264,836,3,52,RE: Security procedures for January 20 VIP visit,0.74
265,244,3,15,RE: Route suggestion for next shift,0.72
266,704,3,43,RE: Software review report,0.82
267,282,3,17,RE: Inspection request for site,0.71
268,566,3,36,RE: Awwww- cute!,0.78
269,125,3,7,RE: Traffic advisory for today,0.72
270,67,3,4,RE: Traffic advisory for today,0.72
271,813,3,50,RE: Software review report,0.82
272,407,3,26,RE: Security procedures for January 20 VIP visit,0.74
273,788,3,49,RE: Inspection request for site,0.71
274,374,3,23,RE: Traffic advisory for today,0.72
275,385,3,24,RE: Inspection request for site,0.71
276,662,3,41,RE: Training opportunity,0.75
277,271,3,16,RE: Traffic advisory for today,0.72
278,837,3,52,RE: Inspection request for site,0.71
587,155,3,10,RE: 2516-00 openhole logging results,1
588,522,3,33,RE: 2516-00 openhole logging results,1
589,297,3,18,RE: 2516-00 openhole logging results,1
795,836,4,52,RE: Security procedures for January 20 VIP visit,0.81
796,244,4,15,RE: Route suggestion for next shift,1
797,704,4,43,RE: Software review report,0.74
798,282,4,17,RE: Inspection request for site,0.87
799,125,4,7,RE: Traffic advisory for today,0.85
800,67,4,4,RE: Traffic advisory for today,0.85
801,813,4,50,RE: Software review report,0.74
802,407,4,26,RE: Security procedures for January 20 VIP visit,0.81
803,788,4,49,RE: Inspection request for site,0.87
804,374,4,23,RE: Traffic advisory for today,0.85
805,385,4,24,RE: Inspection request for site,0.87
806,662,4,41,RE: Training opportunity,0.79
807,271,4,16,RE: Traffic advisory for today,0.85
808,837,4,52,RE: Inspection request for site,0.87
862,407,4,26,RE: Security procedures for January 20 VIP visit,0.76
863,788,4,49,RE: Inspection request for site,0.89
864,374,4,23,RE: Traffic advisory for today,1
865,385,4,24,RE: Inspection request for site,0.89
866,662,4,41,RE: Training opportunity,0.8
867,271,4,16,RE: Traffic advisory for today,1
868,837,4,52,RE: Inspection request for site,0.89
8,229,5,14,RE: Late for meeting,0.84
9,86,5,5,RE: Late for meeting,0.84
10,190,5,12,Route suggestion for next shift,0.73
11,372,5,23,Route suggestion for next shift,0.73
12,210,5,13,RE: Route suggestion for next shift,0.73
13,66,5,4,RE: Route suggestion for next shift,0.73
14,244,5,15,RE: Route suggestion for next shift,0.73
15,125,5,7,RE: Traffic advisory for today,0.7
16,67,5,4,RE: Traffic advisory for today,0.7
17,374,5,23,RE: Traffic advisory for today,0.7
18,271,5,16,RE: Traffic advisory for today,0.7
67,775,5,48,RE: Managing perceptions about the IPO,0.76
68,552,5,35,RE: GIS update,0.72
69,617,5,39,RE: Question about behavior of field device,0.72
70,46,5,3,RE: GIS update,0.72
71,16,5,1,RE: Managing perceptions about the IPO,0.76
72,154,5,10,RE: GIS update,0.72
73,776,5,48,RE: Managing perceptions about the IPO,0.76
