,ID,IDPF,IDPT,Subject,Similarity
931,870,1,55,RE: Impact of local politics on profit margin,1
932,361,1,23,Route suggestion for next shift,0.85
933,304,1,19,RE: Facilities preparations for VIP visit,0.84
934,547,1,35,Wellhead flow rate data,0.7
935,433,1,28,RE: Traffic advisory for today,0.78
936,257,1,16,RE: Facilities preparations for VIP visit,0.84
937,169,1,11,RE: Training opportunity,0.71
938,753,1,46,RE: Action: Virus detected on your system,0.7
939,418,1,27,RE: Impact of local politics on profit margin,1
940,845,1,53,RE: Route suggestion for next shift,0.87
941,382,1,24,RE: Action: Virus detected on your system,0.7
942,258,1,16,RE: Traffic advisory for today,0.78
943,435,1,28,RE: Route suggestion for next shift,0.87
944,580,1,38,RE: Action: Virus detected on your system,0.7
945,564,1,36,RE: Training opportunity,0.71
946,203,1,13,RE: Traffic advisory for today,0.78
947,403,1,26,RE: Action: Virus detected on your system,0.7
948,58,1,4,RE: Route suggestion for next shift,0.87
949,305,1,19,RE: Traffic advisory for today,0.78
950,667,1,42,RE: Action: Virus detected on your system,0.7
951,548,1,35,RE: Wellhead flow rate data,0.8
952,100,1,6,RE: Wellhead flow rate data,0.8
612,607,2,39,RE: Seeing strange network activity,0.8
613,318,2,20,RE: Wellhead flow rate data,0.74
614,168,2,11,RE: Babysitting recommendations,0.77
615,858,2,54,RE: Wellhead flow rate data,0.74
616,824,2,51,RE: Facilities preparations for VIP visit,0.72
617,666,2,42,RE: Late for meeting,0.75
618,402,2,26,RE: Late for meeting,0.75
619,652,2,41,RE: Babysitting recommendations,0.77
620,202,2,13,RE: Facilities preparations for VIP visit,0.72
621,99,2,6,RE: Wellhead flow rate data,0.74
622,12,2,1,RE: Impact of local politics on profit margin,0.72
623,870,2,55,RE: Impact of local politics on profit margin,0.72
624,304,2,19,RE: Facilities preparations for VIP visit,0.72
625,769,2,48,RE: Operational efficiencies,0.83
626,752,2,46,RE: Babysitting recommendations,0.77
627,433,2,28,RE: Traffic advisory for today,0.76
628,257,2,16,RE: Facilities preparations for VIP visit,0.72
629,169,2,11,RE: Training opportunity,0.81
630,753,2,46,RE: Action: Virus detected on your system,0.7
631,418,2,27,RE: Impact of local politics on profit margin,0.72
632,845,2,53,RE: Route suggestion for next shift,0.81
633,382,2,24,RE: Action: Virus detected on your system,0.7
634,258,2,16,RE: Traffic advisory for today,0.76
635,435,2,28,RE: Route suggestion for next shift,0.81
636,580,2,38,RE: Action: Virus detected on your system,0.7
637,564,2,36,RE: Training opportunity,0.81
638,203,2,13,RE: Traffic advisory for today,0.76
639,403,2,26,RE: Action: Virus detected on your system,0.7
640,58,2,4,RE: Route suggestion for next shift,0.81
641,305,2,19,RE: Traffic advisory for today,0.76
642,667,2,42,RE: Action: Virus detected on your system,0.7
643,693,2,43,RE: Article - interesting,0.78
644,548,2,35,RE: Wellhead flow rate data,0.74
645,100,2,6,RE: Wellhead flow rate data,0.74
646,12,4,1,RE: Impact of local politics on profit margin,0.71
647,870,4,55,RE: Impact of local politics on profit margin,0.71
648,361,4,23,Route suggestion for next shift,0.76
649,433,4,28,RE: Traffic advisory for today,0.92
650,418,4,27,RE: Impact of local politics on profit margin,0.71
651,845,4,53,RE: Route suggestion for next shift,0.75
652,258,4,16,RE: Traffic advisory for today,0.92
653,435,4,28,RE: Route suggestion for next shift,0.75
654,203,4,13,RE: Traffic advisory for today,0.92
655,58,4,4,RE: Route suggestion for next shift,0.75
656,305,4,19,RE: Traffic advisory for today,0.92
1233,305,4,19,RE: Traffic advisory for today,0.85
1234,204,4,13,RE: Who took the toolbox out of my truck?,0.71
1235,667,4,42,RE: Action: Virus detected on your system,0.79
1236,548,4,35,RE: Wellhead flow rate data,0.82
1237,100,4,6,RE: Wellhead flow rate data,0.82
1238,59,4,4,RE: Who took the toolbox out of my truck?,0.71
488,563,5,36,RE: Too funy - you have to see this...,0.94
549,806,5,50,RE: Seeing strange network activity,0.72
550,607,5,39,RE: Seeing strange network activity,0.72
551,318,5,20,RE: Wellhead flow rate data,0.7
552,535,5,34,RE: Whoâ€™s tracking the office pool,1
553,858,5,54,RE: Wellhead flow rate data,0.7
554,99,5,6,RE: Wellhead flow rate data,0.7
555,548,5,35,RE: Wellhead flow rate data,0.7
556,100,5,6,RE: Wellhead flow rate data,0.7
906,12,6,1,RE: Impact of local politics on profit margin,0.8
907,870,6,55,RE: Impact of local politics on profit margin,0.8
908,361,6,23,Route suggestion for next shift,0.77
909,304,6,19,RE: Facilities preparations for VIP visit,0.82
910,547,6,35,Wellhead flow rate data,0.9
911,433,6,28,RE: Traffic advisory for today,0.72
912,257,6,16,RE: Facilities preparations for VIP visit,0.82
913,169,6,11,RE: Training opportunity,0.72
914,753,6,46,RE: Action: Virus detected on your system,0.75
915,418,6,27,RE: Impact of local politics on profit margin,0.8
916,845,6,53,RE: Route suggestion for next shift,0.82
917,382,6,24,RE: Action: Virus detected on your system,0.75
918,258,6,16,RE: Traffic advisory for today,0.72
919,435,6,28,RE: Route suggestion for next shift,0.82
920,580,6,38,RE: Action: Virus detected on your system,0.75
921,564,6,36,RE: Training opportunity,0.72
922,462,6,29,RE: Conference report,0.8
923,203,6,13,RE: Traffic advisory for today,0.72
924,403,6,26,RE: Action: Virus detected on your system,0.75
925,610,6,39,RE: Conference report,0.8
926,58,6,4,RE: Route suggestion for next shift,0.82
927,305,6,19,RE: Traffic advisory for today,0.72
928,667,6,42,RE: Action: Virus detected on your system,0.75
929,548,6,35,RE: Wellhead flow rate data,1
930,100,6,6,RE: Wellhead flow rate data,1
759,824,11,51,RE: Facilities preparations for VIP visit,0.71
760,652,11,41,RE: Babysitting recommendations,1
761,202,11,13,RE: Facilities preparations for VIP visit,0.71
762,304,11,19,RE: Facilities preparations for VIP visit,0.71
763,769,11,48,RE: Operational efficiencies,0.83
764,871,11,55,RE: Maximizing quarterly profits,0.78
765,752,11,46,RE: Babysitting recommendations,1
766,257,11,16,RE: Facilities preparations for VIP visit,0.71
767,169,11,11,RE: Training opportunity,0.78
768,564,11,36,RE: Training opportunity,0.78
1060,753,11,46,RE: Action: Virus detected on your system,0.74
1061,418,11,27,RE: Impact of local politics on profit margin,0.71
1062,845,11,53,RE: Route suggestion for next shift,0.79
1063,382,11,24,RE: Action: Virus detected on your system,0.74
1064,258,11,16,RE: Traffic advisory for today,0.8
1065,435,11,28,RE: Route suggestion for next shift,0.79
1066,580,11,38,RE: Action: Virus detected on your system,0.74
1067,564,11,36,RE: Training opportunity,1
1068,462,11,29,RE: Conference report,0.75
1069,203,11,13,RE: Traffic advisory for today,0.8
1070,403,11,26,RE: Action: Virus detected on your system,0.74
1071,610,11,39,RE: Conference report,0.75
1072,58,11,4,RE: Route suggestion for next shift,0.79
1073,305,11,19,RE: Traffic advisory for today,0.8
1074,667,11,42,RE: Action: Virus detected on your system,0.74
1075,548,11,35,RE: Wellhead flow rate data,0.72
1076,100,11,6,RE: Wellhead flow rate data,0.72
976,362,12,23,RE: Be Careful!,1
977,239,12,15,RE: Be Careful!,1
978,434,12,28,RE: Be Careful!,1
885,99,13,6,RE: Wellhead flow rate data,0.82
886,12,13,1,RE: Impact of local politics on profit margin,0.84
887,870,13,55,RE: Impact of local politics on profit margin,0.84
888,361,13,23,Route suggestion for next shift,0.78
889,304,13,19,RE: Facilities preparations for VIP visit,1
890,769,13,48,RE: Operational efficiencies,0.71
891,547,13,35,Wellhead flow rate data,0.71
892,752,13,46,RE: Babysitting recommendations,0.71
893,433,13,28,RE: Traffic advisory for today,0.75
894,257,13,16,RE: Facilities preparations for VIP visit,1
895,169,13,11,RE: Training opportunity,0.72
896,418,13,27,RE: Impact of local politics on profit margin,0.84
897,845,13,53,RE: Route suggestion for next shift,0.81
898,258,13,16,RE: Traffic advisory for today,0.75
899,435,13,28,RE: Route suggestion for next shift,0.81
900,564,13,36,RE: Training opportunity,0.72
901,203,13,13,RE: Traffic advisory for today,0.75
902,58,13,4,RE: Route suggestion for next shift,0.81
903,305,13,19,RE: Traffic advisory for today,0.75
904,548,13,35,RE: Wellhead flow rate data,0.82
905,100,13,6,RE: Wellhead flow rate data,0.82
1205,403,13,26,RE: Action: Virus detected on your system,0.75
1206,610,13,39,RE: Conference report,0.73
1207,58,13,4,RE: Route suggestion for next shift,0.85
1208,305,13,19,RE: Traffic advisory for today,1
1209,204,13,13,RE: Who took the toolbox out of my truck?,0.7
1210,667,13,42,RE: Action: Virus detected on your system,0.75
1211,548,13,35,RE: Wellhead flow rate data,0.72
1212,100,13,6,RE: Wellhead flow rate data,0.72
1213,59,13,4,RE: Who took the toolbox out of my truck?,0.7
1244,59,13,4,RE: Who took the toolbox out of my truck?,1
1044,434,15,28,RE: Be Careful!,1
1255,436,15,28,RE: Updated Safety Policies,1
1256,419,15,27,RE: Updated Safety Policies,1
1045,169,16,11,RE: Training opportunity,0.72
1046,418,16,27,RE: Impact of local politics on profit margin,0.84
1047,845,16,53,RE: Route suggestion for next shift,0.81
1048,258,16,16,RE: Traffic advisory for today,0.75
1049,435,16,28,RE: Route suggestion for next shift,0.81
1050,564,16,36,RE: Training opportunity,0.72
1051,203,16,13,RE: Traffic advisory for today,0.75
1052,58,16,4,RE: Route suggestion for next shift,0.81
1053,305,16,19,RE: Traffic advisory for today,0.75
1054,548,16,35,RE: Wellhead flow rate data,0.82
1055,100,16,6,RE: Wellhead flow rate data,0.82
1143,435,16,28,RE: Route suggestion for next shift,0.85
1144,580,16,38,RE: Action: Virus detected on your system,0.75
1145,564,16,36,RE: Training opportunity,0.8
1146,462,16,29,RE: Conference report,0.73
1147,203,16,13,RE: Traffic advisory for today,1
1148,403,16,26,RE: Action: Virus detected on your system,0.75
1149,610,16,39,RE: Conference report,0.73
1150,58,16,4,RE: Route suggestion for next shift,0.85
1151,305,16,19,RE: Traffic advisory for today,1
1152,204,16,13,RE: Who took the toolbox out of my truck?,0.7
1153,667,16,42,RE: Action: Virus detected on your system,0.75
1154,548,16,35,RE: Wellhead flow rate data,0.72
1155,100,16,6,RE: Wellhead flow rate data,0.72
1156,59,16,4,RE: Who took the toolbox out of my truck?,0.7
993,769,19,48,RE: Operational efficiencies,0.71
994,547,19,35,Wellhead flow rate data,0.71
995,752,19,46,RE: Babysitting recommendations,0.71
996,433,19,28,RE: Traffic advisory for today,0.75
997,257,19,16,RE: Facilities preparations for VIP visit,1
998,169,19,11,RE: Training opportunity,0.72
999,418,19,27,RE: Impact of local politics on profit margin,0.84
1000,845,19,53,RE: Route suggestion for next shift,0.81
1001,258,19,16,RE: Traffic advisory for today,0.75
1002,435,19,28,RE: Route suggestion for next shift,0.81
1003,564,19,36,RE: Training opportunity,0.72
1004,203,19,13,RE: Traffic advisory for today,0.75
1005,58,19,4,RE: Route suggestion for next shift,0.81
1006,305,19,19,RE: Traffic advisory for today,0.75
1007,548,19,35,RE: Wellhead flow rate data,0.82
1008,100,19,6,RE: Wellhead flow rate data,0.82
1239,204,19,13,RE: Who took the toolbox out of my truck?,0.7
1240,667,19,42,RE: Action: Virus detected on your system,0.75
1241,548,19,35,RE: Wellhead flow rate data,0.72
1242,100,19,6,RE: Wellhead flow rate data,0.72
1243,59,19,4,RE: Who took the toolbox out of my truck?,0.7
714,535,20,34,RE: Whoâ€™s tracking the office pool,0.7
715,858,20,54,RE: Wellhead flow rate data,1
716,569,20,37,Action: Virus detected on your system,0.7
717,824,20,51,RE: Facilities preparations for VIP visit,0.82
718,202,20,13,RE: Facilities preparations for VIP visit,0.82
719,99,20,6,RE: Wellhead flow rate data,1
720,12,20,1,RE: Impact of local politics on profit margin,0.8
721,870,20,55,RE: Impact of local politics on profit margin,0.8
722,361,20,23,Route suggestion for next shift,0.77
723,304,20,19,RE: Facilities preparations for VIP visit,0.82
724,547,20,35,Wellhead flow rate data,0.9
725,433,20,28,RE: Traffic advisory for today,0.72
726,257,20,16,RE: Facilities preparations for VIP visit,0.82
727,169,20,11,RE: Training opportunity,0.72
728,753,20,46,RE: Action: Virus detected on your system,0.75
729,418,20,27,RE: Impact of local politics on profit margin,0.8
730,845,20,53,RE: Route suggestion for next shift,0.82
731,382,20,24,RE: Action: Virus detected on your system,0.75
732,258,20,16,RE: Traffic advisory for today,0.72
733,435,20,28,RE: Route suggestion for next shift,0.82
734,580,20,38,RE: Action: Virus detected on your system,0.75
735,564,20,36,RE: Training opportunity,0.72
736,462,20,29,RE: Conference report,0.8
737,203,20,13,RE: Traffic advisory for today,0.72
738,403,20,26,RE: Action: Virus detected on your system,0.75
739,610,20,39,RE: Conference report,0.8
740,58,20,4,RE: Route suggestion for next shift,0.82
741,305,20,19,RE: Traffic advisory for today,0.72
742,667,20,42,RE: Action: Virus detected on your system,0.75
743,548,20,35,RE: Wellhead flow rate data,1
744,100,20,6,RE: Wellhead flow rate data,1
979,304,23,19,RE: Facilities preparations for VIP visit,0.78
980,547,23,35,Wellhead flow rate data,0.74
981,433,23,28,RE: Traffic advisory for today,0.75
982,257,23,16,RE: Facilities preparations for VIP visit,0.78
983,418,23,27,RE: Impact of local politics on profit margin,0.85
984,845,23,53,RE: Route suggestion for next shift,0.94
985,258,23,16,RE: Traffic advisory for today,0.75
986,435,23,28,RE: Route suggestion for next shift,0.94
987,203,23,13,RE: Traffic advisory for today,0.75
988,58,23,4,RE: Route suggestion for next shift,0.94
989,305,23,19,RE: Traffic advisory for today,0.75
990,548,23,35,RE: Wellhead flow rate data,0.77
991,100,23,6,RE: Wellhead flow rate data,0.77
1011,239,23,15,RE: Be Careful!,1
1012,434,23,28,RE: Be Careful!,1
1126,258,24,16,RE: Traffic advisory for today,0.75
1127,435,24,28,RE: Route suggestion for next shift,0.79
1128,580,24,38,RE: Action: Virus detected on your system,1
1129,564,24,36,RE: Training opportunity,0.74
1130,462,24,29,RE: Conference report,0.83
1131,203,24,13,RE: Traffic advisory for today,0.75
1132,403,24,26,RE: Action: Virus detected on your system,1
1133,610,24,39,RE: Conference report,0.83
1134,58,24,4,RE: Route suggestion for next shift,0.79
1135,305,24,19,RE: Traffic advisory for today,0.75
1136,667,24,42,RE: Action: Virus detected on your system,1
1137,548,24,35,RE: Wellhead flow rate data,0.75
1138,100,24,6,RE: Wellhead flow rate data,0.75
1139,383,24,24,RE: Updated Safety Policies,0.73
1140,240,24,15,RE: Updated Safety Policies,0.73
1141,436,24,28,RE: Updated Safety Policies,0.73
1142,419,24,27,RE: Updated Safety Policies,0.73
1252,240,24,15,RE: Updated Safety Policies,1
1253,436,24,28,RE: Updated Safety Policies,1
1254,419,24,27,RE: Updated Safety Policies,1
264,804,25,50,RE: Action: Review network logs,0.81
265,689,25,43,RE: Action: Review network logs,0.81
266,500,25,31,RE: Security procedures for January 20 VIP visit,1
267,579,25,38,RE: Mandatory training,0.71
268,606,25,39,RE: Mandatory training,0.71
269,81,25,5,RE: Whoâ€™s tracking the office pool,0.7
270,806,25,50,RE: Seeing strange network activity,0.71
271,869,25,55,Impact of local politics on profit margin,0.72
272,30,25,2,RE: Mandatory training,0.71
273,479,25,30,Wellhead flow rate data,0.73
274,607,25,39,RE: Seeing strange network activity,0.71
