,ID,IDPF,IDPT,Subject,Similarity
313,398,1,26,RE: Late for meeting,0.72
314,10,1,1,Recommendations for a good investment advisor?,0.71
315,352,1,23,RE: Late for meeting,0.72
316,733,1,45,RE: Service anniversary,0.86
317,56,1,4,RE: Service anniversary,0.86
318,799,1,50,RE: Web site,0.73
319,225,1,14,RE: Need volunteers - charity bake sale,0.72
320,76,1,5,RE: Coupon club,0.73
321,414,1,27,RE: Reception after the corporate meeting Monday morning,1
322,645,1,41,RE: Coupon club,0.73
323,766,1,48,RE: Recommendations for a good investment advisor?,0.79
324,164,1,11,RE: Coupon club,0.73
325,831,1,52,RE: Vacation scheduling procedures,0.74
326,684,1,43,RE: Web site,0.73
327,509,1,32,RE: Vacation scheduling procedures,0.74
353,414,1,27,RE: Reception after the corporate meeting Monday morning,0.71
354,766,1,48,RE: Recommendations for a good investment advisor?,0.94
278,224,3,14,RE: Training opportunity,0.73
279,798,3,50,RE: Anyone have time to help troubleshoot some software?,0.75
280,76,3,5,RE: Coupon club,0.73
281,645,3,41,RE: Coupon club,0.73
282,451,3,29,RE: Anyone have time to help troubleshoot some software?,0.75
283,164,3,11,RE: Coupon club,0.73
71,644,4,41,RE: Joke - funny!,0.76
72,77,4,5,RE: Joke - funny!,0.76
290,163,4,11,RE: Need volunteers - charity bake sale,0.72
291,9,4,1,RE: Reception after the corporate meeting Monday morning,0.76
292,494,4,31,Vacation scheduling procedures,0.73
293,733,4,45,RE: Service anniversary,0.8
294,56,4,4,RE: Service anniversary,0.8
295,225,4,14,RE: Need volunteers - charity bake sale,0.72
296,414,4,27,RE: Reception after the corporate meeting Monday morning,0.76
297,831,4,52,RE: Vacation scheduling procedures,0.75
298,509,4,32,RE: Vacation scheduling procedures,0.75
407,799,4,50,RE: Web site,0.82
408,225,4,14,RE: Need volunteers - charity bake sale,0.73
409,76,4,5,RE: Coupon club,0.78
410,414,4,27,RE: Reception after the corporate meeting Monday morning,0.86
411,645,4,41,RE: Coupon club,0.78
412,766,4,48,RE: Recommendations for a good investment advisor?,0.78
413,77,4,5,RE: Joke - funny!,0.72
414,164,4,11,RE: Coupon club,0.78
415,831,4,52,RE: Vacation scheduling procedures,0.81
416,684,4,43,RE: Web site,0.82
417,509,4,32,RE: Vacation scheduling procedures,0.81
447,414,5,27,RE: Reception after the corporate meeting Monday morning,0.73
448,645,5,41,RE: Coupon club,1
449,766,5,48,RE: Recommendations for a good investment advisor?,0.76
450,164,5,11,RE: Coupon club,1
451,831,5,52,RE: Vacation scheduling procedures,0.8
452,684,5,43,RE: Web site,0.79
453,509,5,32,RE: Vacation scheduling procedures,0.8
6,830,6,52,RE: Out of staples,0.86
7,96,6,6,RE: Out of staples,0.86
73,598,6,39,RE: Copier,0.7
74,301,6,19,RE: Copier,0.7
75,398,6,26,RE: Late for meeting,0.74
76,352,6,23,RE: Late for meeting,0.74
107,599,6,39,RE: Hardware failures,0.86
108,301,6,19,RE: Copier,0.78
109,732,6,45,RE: Training opportunity,0.86
110,163,6,11,RE: Need volunteers - charity bake sale,0.79
111,9,6,1,RE: Reception after the corporate meeting Monday morning,0.78
112,644,6,41,RE: Joke - funny!,0.71
113,398,6,26,RE: Late for meeting,0.75
114,352,6,23,RE: Late for meeting,0.75
115,733,6,45,RE: Service anniversary,0.89
116,224,6,14,RE: Training opportunity,0.86
117,56,6,4,RE: Service anniversary,0.89
118,799,6,50,RE: Web site,0.88
119,225,6,14,RE: Need volunteers - charity bake sale,0.79
120,76,6,5,RE: Coupon club,0.83
121,414,6,27,RE: Reception after the corporate meeting Monday morning,0.78
122,645,6,41,RE: Coupon club,0.83
123,766,6,48,RE: Recommendations for a good investment advisor?,0.82
124,77,6,5,RE: Joke - funny!,0.71
125,164,6,11,RE: Coupon club,0.83
126,831,6,52,RE: Vacation scheduling procedures,0.85
127,684,6,43,RE: Web site,0.88
128,509,6,32,RE: Vacation scheduling procedures,0.85
51,54,7,4,RE: Funny!!,1
52,644,7,41,RE: Joke - funny!,0.76
53,77,7,5,RE: Joke - funny!,0.76
368,431,7,28,RE: Who took the toolbox out of my truck?,1
369,842,7,53,RE: Who took the toolbox out of my truck?,1
370,818,7,51,RE: Who took the toolbox out of my truck?,1
371,353,7,23,RE: Who took the toolbox out of my truck?,1
372,800,7,50,RE: Who's up for lunch?,0.76
373,452,7,29,RE: Who's up for lunch?,0.76
457,393,7,25,RE: Updated assignments,0.8
458,495,7,31,RE: Updated assignments,0.8
459,278,7,17,RE: GASTech announcements,1
26,478,10,30,RE: 2516-00 openhole logging results,0.71
27,598,10,39,RE: Copier,0.78
28,97,10,6,RE: Equipment calibration,1
29,599,10,39,RE: Hardware failures,0.86
30,301,10,19,RE: Copier,0.78
31,732,10,45,RE: Training opportunity,0.86
32,163,10,11,RE: Need volunteers - charity bake sale,0.79
33,9,10,1,RE: Reception after the corporate meeting Monday morning,0.78
34,644,10,41,RE: Joke - funny!,0.71
35,398,10,26,RE: Late for meeting,0.75
36,352,10,23,RE: Late for meeting,0.75
37,733,10,45,RE: Service anniversary,0.89
38,224,10,14,RE: Training opportunity,0.86
39,56,10,4,RE: Service anniversary,0.89
40,799,10,50,RE: Web site,0.88
41,225,10,14,RE: Need volunteers - charity bake sale,0.79
42,76,10,5,RE: Coupon club,0.83
43,414,10,27,RE: Reception after the corporate meeting Monday morning,0.78
44,645,10,41,RE: Coupon club,0.83
45,766,10,48,RE: Recommendations for a good investment advisor?,0.82
46,77,10,5,RE: Joke - funny!,0.71
47,164,10,11,RE: Coupon club,0.83
48,831,10,52,RE: Vacation scheduling procedures,0.85
49,684,10,43,RE: Web site,0.88
50,509,10,32,RE: Vacation scheduling procedures,0.85
77,545,10,35,RE: Downhole logging scheduled for 2516-00,0.94
145,163,11,11,RE: Need volunteers - charity bake sale,0.93
146,494,11,31,Vacation scheduling procedures,0.73
147,225,11,14,RE: Need volunteers - charity bake sale,0.93
299,9,11,1,RE: Reception after the corporate meeting Monday morning,0.72
300,733,11,45,RE: Service anniversary,0.73
301,224,11,14,RE: Training opportunity,0.7
302,56,11,4,RE: Service anniversary,0.73
303,799,11,50,RE: Web site,0.74
304,225,11,14,RE: Need volunteers - charity bake sale,1
305,76,11,5,RE: Coupon club,0.76
306,414,11,27,RE: Reception after the corporate meeting Monday morning,0.72
307,645,11,41,RE: Coupon club,0.76
308,766,11,48,RE: Recommendations for a good investment advisor?,0.71
309,164,11,11,RE: Coupon club,0.76
310,831,11,52,RE: Vacation scheduling procedures,0.8
311,684,11,43,RE: Web site,0.74
312,509,11,32,RE: Vacation scheduling procedures,0.8
484,831,11,52,RE: Vacation scheduling procedures,0.8
485,684,11,43,RE: Web site,0.79
486,509,11,32,RE: Vacation scheduling procedures,0.8
208,199,13,13,Who took the toolbox out of my truck?,1
209,116,13,7,RE: Who took the toolbox out of my truck?,0.94
210,431,13,28,RE: Who took the toolbox out of my truck?,0.94
211,842,13,53,RE: Who took the toolbox out of my truck?,0.94
212,818,13,51,RE: Who took the toolbox out of my truck?,0.94
213,353,13,23,RE: Who took the toolbox out of my truck?,0.94
254,116,13,7,RE: Who took the toolbox out of my truck?,0.94
255,431,13,28,RE: Who took the toolbox out of my truck?,0.94
256,842,13,53,RE: Who took the toolbox out of my truck?,0.94
257,818,13,51,RE: Who took the toolbox out of my truck?,0.94
258,353,13,23,RE: Who took the toolbox out of my truck?,0.94
102,732,14,45,RE: Training opportunity,0.79
103,223,14,14,Coupon club,0.74
104,224,14,14,RE: Training opportunity,0.79
129,644,14,41,RE: Joke - funny!,0.89
130,77,14,5,RE: Joke - funny!,0.89
275,76,14,5,RE: Coupon club,0.78
276,645,14,41,RE: Coupon club,0.78
